id,title,description,publishTime,url,thumbnail_small,thumbnail_medium,thumbnail_high,datetime_obj
q2ecj1NRQ-k,Men&#39;s 3M Diving 🥇 Last 5 Champions!,Enjoy this look back at the last 5 Men's 3m Diving winners at the Olympics: Xiong Ni / Sydney 2000 Peng Bo / Athens 2004 He Chong / Beijing 2008 ...,2021-08-02T17:00:20Z,https://www.youtube.com/watch?v=q2ecj1NRQ-k,https://i.ytimg.com/vi/q2ecj1NRQ-k/default.jpg,https://i.ytimg.com/vi/q2ecj1NRQ-k/mqdefault.jpg,https://i.ytimg.com/vi/q2ecj1NRQ-k/hqdefault.jpg,2021-08-02 17:00:20
ciZ_zBZrJL4,Kamalpreet Kaur&#39;s debut Olympic final | #Tokyo2020 Highlights,"India's national record holder in women's discus throw, Kamalpreet Kaur, hurled a distance of 63.70m in the final event to end her Olympic campaign with a ...",2021-08-02T16:30:09Z,https://www.youtube.com/watch?v=ciZ_zBZrJL4,https://i.ytimg.com/vi/ciZ_zBZrJL4/default.jpg,https://i.ytimg.com/vi/ciZ_zBZrJL4/mqdefault.jpg,https://i.ytimg.com/vi/ciZ_zBZrJL4/hqdefault.jpg,2021-08-02 16:30:09
JIEso8-Tbfo,India stun Australia in quarter-final 🏑 | #Tokyo2020 Highlights,India defeated world no. 2 Australia 1-0 in the women's quarter-final clash. Gurjit Kaur scored the only goal of the match that powered India to a semi-final spot.,2021-08-02T10:01:06Z,https://www.youtube.com/watch?v=JIEso8-Tbfo,https://i.ytimg.com/vi/JIEso8-Tbfo/default.jpg,https://i.ytimg.com/vi/JIEso8-Tbfo/mqdefault.jpg,https://i.ytimg.com/vi/JIEso8-Tbfo/hqdefault.jpg,2021-08-02 10:01:06
F2SJlZBF0P0,Tokyo Olympics: Indian Women&#39;s Hockey Team Reach Semifinals; Beat Australia By 1-0 | Breaking News,The Indian women's hockey team registered one of its biggest wins in history by starting Monday with a stunning 1-0 win over three-time champions Australia 1-0 ...,2021-08-02T05:05:22Z,https://www.youtube.com/watch?v=F2SJlZBF0P0,https://i.ytimg.com/vi/F2SJlZBF0P0/default.jpg,https://i.ytimg.com/vi/F2SJlZBF0P0/mqdefault.jpg,https://i.ytimg.com/vi/F2SJlZBF0P0/hqdefault.jpg,2021-08-02 05:05:22
tSCj7bDkX4c,Goosebumps galore as PV Sindhu collects her second Olympic medal | #Shorts,"The first Indian woman to win two Olympic medals! PV Sindhu defeated China's He Bing Jiao in straight games 21-13, 21-15 in the women's Badminton bronze ...",2021-08-02T00:26:22Z,https://www.youtube.com/watch?v=tSCj7bDkX4c,https://i.ytimg.com/vi/tSCj7bDkX4c/default.jpg,https://i.ytimg.com/vi/tSCj7bDkX4c/mqdefault.jpg,https://i.ytimg.com/vi/tSCj7bDkX4c/hqdefault.jpg,2021-08-02 00:26:22
N5B3ecSnwJo,"Tokyo 2020 Olympics | 1st August, Daily Highlights","India's PV Sindhu scripted history by becoming the first Indian woman to win two Olympic medals, while the Indian hockey team booked a semi-final spot ...",2021-08-01T20:55:48Z,https://www.youtube.com/watch?v=N5B3ecSnwJo,https://i.ytimg.com/vi/N5B3ecSnwJo/default.jpg,https://i.ytimg.com/vi/N5B3ecSnwJo/mqdefault.jpg,https://i.ytimg.com/vi/N5B3ecSnwJo/hqdefault.jpg,2021-08-01 20:55:48
hS-r6yhrkjs,भारत ने क्वार्टरफाइनल में ग्रेट ब्रिटेन को हराया 🏑 | #Tokyo2020 हाइलाइट्स,पुरुष हॉकी के आखिरी क्वार्टरफाइनल मुकाबले में भारत ने ग्रेट ब्रिटेन को 3-1 से हराया। भारत की ओर से दिलप्रीत ने ...,2021-08-01T19:48:57Z,https://www.youtube.com/watch?v=hS-r6yhrkjs,https://i.ytimg.com/vi/hS-r6yhrkjs/default.jpg,https://i.ytimg.com/vi/hS-r6yhrkjs/mqdefault.jpg,https://i.ytimg.com/vi/hS-r6yhrkjs/hqdefault.jpg,2021-08-01 19:48:57
pQRfB1v-9vo,India beat Great Britain in quarter-final 🏑 | #Tokyo2020 Highlights,"In the last quarter-final match of men's hockey, India defeated Great Britain by 3-1. India's Dilpreet scored the opening goal followed by Gurjant doubling the lead ...",2021-08-01T19:39:22Z,https://www.youtube.com/watch?v=pQRfB1v-9vo,https://i.ytimg.com/vi/pQRfB1v-9vo/default.jpg,https://i.ytimg.com/vi/pQRfB1v-9vo/mqdefault.jpg,https://i.ytimg.com/vi/pQRfB1v-9vo/hqdefault.jpg,2021-08-01 19:39:22
UvrHUAximog,PV Sindhu wins second Olympic medal 🏸🥉 | #Tokyo2020 Highlights,"PV Sindhu became India's first shuttler to win two Olympic medals after her bronze-medal victory over China's He Bing Jiao 21-13, 21-15. The Tokyo 2020 ...",2021-08-01T17:49:40Z,https://www.youtube.com/watch?v=UvrHUAximog,https://i.ytimg.com/vi/UvrHUAximog/default.jpg,https://i.ytimg.com/vi/UvrHUAximog/mqdefault.jpg,https://i.ytimg.com/vi/UvrHUAximog/hqdefault.jpg,2021-08-01 17:49:40
oZ1icA8ZWTE,MyKayla Skinner Wins Silver At Tokyo Olympics After Replacing Simone Biles,Comeback queen! MyKayla Skinner won Silver at the Tokyo Olympics after stepping in for Simone Biles. Her dreams of taking home a medal came true after she ...,2021-08-01T17:32:55Z,https://www.youtube.com/watch?v=oZ1icA8ZWTE,https://i.ytimg.com/vi/oZ1icA8ZWTE/default.jpg,https://i.ytimg.com/vi/oZ1icA8ZWTE/mqdefault.jpg,https://i.ytimg.com/vi/oZ1icA8ZWTE/hqdefault.jpg,2021-08-01 17:32:55
